frame,status,missed,candidate_count,gate_radius,err_to_gt,est_x,est_y,gt_occluded,gt_x,gt_y,meas_err_to_gt,meas_x,meas_y,pred_x,pred_y,raw_meas_x,raw_meas_y,reacquire_pending,reacquire_pending_count,reacquire_pending_x,reacquire_pending_y
0,LOST,0,0,15.0,,,,False,193.77588865160942,491.89814434200525,,,,,,,,False,0,,
1,TRACKED,0,1,15.0,2.9067521476542413,197.5,493.5,False,195.0307255089283,491.9664122015238,2.9067521476542413,197.5,493.5,,,,,False,0,,
2,PREDICTED,1,0,15.0,1.620583671333979,197.5,493.5,False,196.3097357749939,492.40019887685776,,,,197.5,493.5,,,False,0,,
3,PREDICTED,2,0,16.0,1.0498167829471052,197.5,493.5,False,197.26823776960373,492.47608518600464,,,,197.5,493.5,,,False,0,,
4,TRACKED,0,1,17.0,1.8752943817129188,201.48410034179688,493.5,False,199.8442810177803,492.5902079343796,1.889213315311032,201.5,493.5,197.5,493.5,201.5,493.5,False,0,,
5,PREDICTED,1,0,15.0,2.2163647923094834,202.68153381347656,493.5,False,200.81922879815102,492.29829582571983,,,,202.68153381347656,493.5,,,False,0,,
6,PREDICTED,2,0,16.0,1.4706924704246023,203.87896728515625,493.5,False,203.0995180606842,492.2528451383114,,,,203.87896728515625,493.5,,,False,0,,
7,TRACKED,0,1,17.0,2.5024792800073308,207.4168701171875,493.5,False,205.2216440141201,492.29859045147896,2.575711727207122,207.5,493.5,205.07640075683594,493.5,207.5,493.5,False,0,,
8,PREDICTED,1,0,15.0,3.6235561341954985,209.35202026367188,493.5,False,205.90556025505066,492.38103955984116,,,,209.35202026367188,493.5,,,False,0,,
9,TRACKED,0,1,16.0,2.6904532295309944,209.8773193359375,493.1055603027344,False,207.9680798202753,491.20994877815247,2.3560693567646913,209.5,493.0,211.28717041015625,493.5,209.5,493.0,False,0,,
10,TRACKED,0,1,15.0,2.4448648946035587,211.45730590820312,492.9951171875,False,209.6930804848671,491.3025236129761,2.4791902344660706,211.5,493.0,211.3904266357422,492.98748779296875,211.5,493.0,False,0,,
11,PREDICTED,1,0,15.0,3.085080470265271,212.9929962158203,492.8796081542969,False,210.48401176929474,491.084414973855,,,,212.9929962158203,492.8796081542969,,,False,0,,
12,TRACKED,0,1,16.0,2.2193297068215325,214.14306640625,493.3008728027344,False,212.43143993616104,491.8881593942642,2.2490911080187836,214.0,493.5,214.5286865234375,492.76409912109375,214.0,493.5,False,0,,
13,TRACKED,0,1,15.0,1.6471612221653809,215.5215606689453,493.4435729980469,False,214.34621214866638,492.2895816862583,1.6722257324076522,215.5,493.5,215.55374145507812,493.3594055175781,215.5,493.5,False,0,,
